agency_id,agency_code,agency_name,geography_id,agency_type,opened_date,employee_count
AGY_001,FR001,Agence RetainFlow Paris,GEO_IDF_PARIS_75015,CALL_CENTER,2012-05-05,15
AGY_002,FR002,Agence RetainFlow Boulogne-Billancourt,GEO_IDF_BOULOGNE_92100,BRANCH,1998-07-24,55
AGY_003,FR003,Agence RetainFlow Saint-Denis,GEO_IDF_SAINT_DENIS_93200,BRANCH,2004-03-03,23
AGY_004,FR004,Agence RetainFlow Lyon,GEO_ARA_LYON_69003,RETENTION_CENTER,2003-01-03,16
AGY_005,FR005,Agence RetainFlow Grenoble,GEO_ARA_GRENOBLE_38000,BRANCH,2014-07-09,14
AGY_006,FR006,Agence RetainFlow Marseille,GEO_PACA_MARSEILLE_13008,BRANCH,2013-03-06,55
AGY_007,FR007,Agence RetainFlow Nice,GEO_PACA_NICE_06000,BRANCH,2018-01-04,42
AGY_008,FR008,Agence RetainFlow Toulouse,GEO_OCC_TOULOUSE_31000,BRANCH,1999-12-14,45
AGY_009,FR009,Agence RetainFlow Montpellier,GEO_OCC_MONTPELLIER_34000,BRANCH,2007-06-19,10
AGY_010,FR010,Agence RetainFlow Bordeaux,GEO_NAQ_BORDEAUX_33000,BRANCH,1998-09-02,13
AGY_011,FR011,Agence RetainFlow Limoges,GEO_NAQ_LIMOGES_87000,BRANCH,2002-11-27,22
AGY_012,FR012,Agence RetainFlow Lille,GEO_HDF_LILLE_59000,CALL_CENTER,2009-05-02,46
AGY_013,FR013,Agence RetainFlow Amiens,GEO_HDF_AMIENS_80000,BRANCH,1998-08-06,43
AGY_014,FR014,Agence RetainFlow Rennes,GEO_BRE_RENNES_35000,BRANCH,2002-06-17,53
AGY_015,FR015,Agence RetainFlow Brest,GEO_BRE_BREST_29200,BRANCH,2012-07-29,52
AGY_016,FR016,Agence RetainFlow Nantes,GEO_PDL_NANTES_44000,CALL_CENTER,2010-03-23,34
AGY_017,FR017,Agence RetainFlow Strasbourg,GEO_GE_STRASBOURG_67000,BRANCH,2002-12-11,36
AGY_018,FR018,Agence RetainFlow Reims,GEO_GE_REIMS_51100,BRANCH,2011-03-21,25
AGY_019,FR019,Agence RetainFlow Rouen,GEO_NOR_ROUEN_76000,BRANCH,2016-02-26,8
AGY_020,FR020,Agence RetainFlow Tours,GEO_CVL_TOURS_37000,BRANCH,2015-01-08,18
AGY_021,FR021,Agence RetainFlow Dijon,GEO_BFC_DIJON_21000,BRANCH,2013-08-29,35
AGY_022,FR022,Agence RetainFlow Ajaccio,GEO_COR_AJACCIO_20000,BRANCH,2005-08-19,25
AGY_023,FR023,Agence RetainFlow Gueret,GEO_RURAL_CREUSE_23000,BROKER_HUB,2001-06-27,21
AGY_024,FR024,Agence RetainFlow Aurillac,GEO_RURAL_CANTAL_15000,BROKER_HUB,2019-06-21,29
