date_key,calendar_date,calendar_year,calendar_quarter,calendar_month,month_name,day_of_month,day_of_week,week_of_year,is_weekend,is_month_end,is_quarter_end,is_year_end
20200101,2020-01-01,2020,1,1,January,1,3,1,false,false,false,false
20200102,2020-01-02,2020,1,1,January,2,4,1,false,false,false,false
20200103,2020-01-03,2020,1,1,January,3,5,1,false,false,false,false
20200104,2020-01-04,2020,1,1,January,4,6,1,true,false,false,false
20200105,2020-01-05,2020,1,1,January,5,7,1,true,false,false,false
20200106,2020-01-06,2020,1,1,January,6,1,2,false,false,false,false
20200107,2020-01-07,2020,1,1,January,7,2,2,false,false,false,false
20200108,2020-01-08,2020,1,1,January,8,3,2,false,false,false,false
20200109,2020-01-09,2020,1,1,January,9,4,2,false,false,false,false
20200110,2020-01-10,2020,1,1,January,10,5,2,false,false,false,false
20200111,2020-01-11,2020,1,1,January,11,6,2,true,false,false,false
20200112,2020-01-12,2020,1,1,January,12,7,2,true,false,false,false
20200113,2020-01-13,2020,1,1,January,13,1,3,false,false,false,false
20200114,2020-01-14,2020,1,1,January,14,2,3,false,false,false,false
20200115,2020-01-15,2020,1,1,January,15,3,3,false,false,false,false
20200116,2020-01-16,2020,1,1,January,16,4,3,false,false,false,false
20200117,2020-01-17,2020,1,1,January,17,5,3,false,false,false,false
20200118,2020-01-18,2020,1,1,January,18,6,3,true,false,false,false
20200119,2020-01-19,2020,1,1,January,19,7,3,true,false,false,false
20200120,2020-01-20,2020,1,1,January,20,1,4,false,false,false,false
20200121,2020-01-21,2020,1,1,January,21,2,4,false,false,false,false
20200122,2020-01-22,2020,1,1,January,22,3,4,false,false,false,false
20200123,2020-01-23,2020,1,1,January,23,4,4,false,false,false,false
20200124,2020-01-24,2020,1,1,January,24,5,4,false,false,false,false
20200125,2020-01-25,2020,1,1,January,25,6,4,true,false,false,false
20200126,2020-01-26,2020,1,1,January,26,7,4,true,false,false,false
20200127,2020-01-27,2020,1,1,January,27,1,5,false,false,false,false
20200128,2020-01-28,2020,1,1,January,28,2,5,false,false,false,false
20200129,2020-01-29,2020,1,1,January,29,3,5,false,false,false,false
20200130,2020-01-30,2020,1,1,January,30,4,5,false,false,false,false
20200131,2020-01-31,2020,1,1,January,31,5,5,false,true,false,false
20200201,2020-02-01,2020,1,2,February,1,6,5,true,false,false,false
20200202,2020-02-02,2020,1,2,February,2,7,5,true,false,false,false
20200203,2020-02-03,2020,1,2,February,3,1,6,false,false,false,false
20200204,2020-02-04,2020,1,2,February,4,2,6,false,false,false,false
20200205,2020-02-05,2020,1,2,February,5,3,6,false,false,false,false
20200206,2020-02-06,2020,1,2,February,6,4,6,false,false,false,false
20200207,2020-02-07,2020,1,2,February,7,5,6,false,false,false,false
20200208,2020-02-08,2020,1,2,February,8,6,6,true,false,false,false
20200209,2020-02-09,2020,1,2,February,9,7,6,true,false,false,false
20200210,2020-02-10,2020,1,2,February,10,1,7,false,false,false,false
20200211,2020-02-11,2020,1,2,February,11,2,7,false,false,false,false
20200212,2020-02-12,2020,1,2,February,12,3,7,false,false,false,false
