geography_id,country,region,department,city,postal_code,urbanicity,income_index,claim_risk_index,digital_adoption_index
GEO_IDF_PARIS_75015,FR,Ile-de-France,Paris,Paris,75015,URBAN,1.38,1.05,1.32
GEO_IDF_BOULOGNE_92100,FR,Ile-de-France,Hauts-de-Seine,Boulogne-Billancourt,92100,URBAN,1.42,0.98,1.3
GEO_IDF_SAINT_DENIS_93200,FR,Ile-de-France,Seine-Saint-Denis,Saint-Denis,93200,URBAN,0.88,1.18,1.14
GEO_ARA_LYON_69003,FR,Auvergne-Rhone-Alpes,Rhone,Lyon,69003,URBAN,1.16,1.0,1.22
GEO_ARA_GRENOBLE_38000,FR,Auvergne-Rhone-Alpes,Isere,Grenoble,38000,URBAN,1.07,1.08,1.18
GEO_PACA_MARSEILLE_13008,FR,Provence-Alpes-Cote dAzur,Bouches-du-Rhone,Marseille,13008,URBAN,1.03,1.2,1.12
GEO_PACA_NICE_06000,FR,Provence-Alpes-Cote dAzur,Alpes-Maritimes,Nice,06000,URBAN,1.12,1.14,1.16
GEO_OCC_TOULOUSE_31000,FR,Occitanie,Haute-Garonne,Toulouse,31000,URBAN,1.08,0.96,1.2
GEO_OCC_MONTPELLIER_34000,FR,Occitanie,Herault,Montpellier,34000,URBAN,1.02,1.03,1.18
GEO_NAQ_BORDEAUX_33000,FR,Nouvelle-Aquitaine,Gironde,Bordeaux,33000,URBAN,1.1,0.94,1.17
GEO_NAQ_LIMOGES_87000,FR,Nouvelle-Aquitaine,Haute-Vienne,Limoges,87000,SUBURBAN,0.88,0.91,0.96
GEO_HDF_LILLE_59000,FR,Hauts-de-France,Nord,Lille,59000,URBAN,0.97,1.08,1.15
GEO_HDF_AMIENS_80000,FR,Hauts-de-France,Somme,Amiens,80000,SUBURBAN,0.86,1.02,0.95
GEO_BRE_RENNES_35000,FR,Bretagne,Ille-et-Vilaine,Rennes,35000,URBAN,1.04,0.88,1.16
GEO_BRE_BREST_29200,FR,Bretagne,Finistere,Brest,29200,SUBURBAN,0.93,0.95,1.02
GEO_PDL_NANTES_44000,FR,Pays de la Loire,Loire-Atlantique,Nantes,44000,URBAN,1.06,0.9,1.17
GEO_GE_STRASBOURG_67000,FR,Grand Est,Bas-Rhin,Strasbourg,67000,URBAN,1.03,0.97,1.13
GEO_GE_REIMS_51100,FR,Grand Est,Marne,Reims,51100,SUBURBAN,0.94,1.01,0.99
GEO_NOR_ROUEN_76000,FR,Normandie,Seine-Maritime,Rouen,76000,URBAN,0.95,1.06,1.02
GEO_CVL_TOURS_37000,FR,Centre-Val de Loire,Indre-et-Loire,Tours,37000,SUBURBAN,0.96,0.92,1.01
GEO_BFC_DIJON_21000,FR,Bourgogne-Franche-Comte,Cote-dOr,Dijon,21000,SUBURBAN,0.98,0.91,1.0
GEO_COR_AJACCIO_20000,FR,Corse,Corse-du-Sud,Ajaccio,20000,SUBURBAN,0.92,1.22,0.91
GEO_RURAL_CREUSE_23000,FR,Nouvelle-Aquitaine,Creuse,Gueret,23000,RURAL,0.76,0.86,0.72
GEO_RURAL_CANTAL_15000,FR,Auvergne-Rhone-Alpes,Cantal,Aurillac,15000,RURAL,0.79,0.89,0.74
