product_id,product_family,product_name,coverage_tier,base_annual_premium,deductible_amount,risk_level,default_payment_frequency
PROD_AUTO_BASIC,AUTO,Auto Essentiel,BASIC,520,600,MEDIUM,MONTHLY
PROD_AUTO_STANDARD,AUTO,Auto Confort,STANDARD,760,350,MEDIUM,MONTHLY
PROD_AUTO_PREMIUM,AUTO,Auto Premium,PREMIUM,1120,150,HIGH,MONTHLY
PROD_HOME_BASIC,HOME,Habitation Essentiel,BASIC,310,500,LOW,MONTHLY
PROD_HOME_STANDARD,HOME,Habitation Confort,STANDARD,480,300,MEDIUM,MONTHLY
PROD_HOME_PREMIUM,HOME,Habitation Premium,PREMIUM,760,100,MEDIUM,MONTHLY
PROD_HEALTH_BASIC,HEALTH,Sante Essentiel,BASIC,680,250,MEDIUM,MONTHLY
PROD_HEALTH_STANDARD,HEALTH,Sante Confort,STANDARD,980,100,HIGH,MONTHLY
PROD_HEALTH_PREMIUM,HEALTH,Sante Premium,PREMIUM,1480,0,HIGH,MONTHLY
PROD_LIFE_BASIC,LIFE,Prevoyance Essentiel,BASIC,240,0,LOW,ANNUAL
PROD_LIFE_STANDARD,LIFE,Prevoyance Confort,STANDARD,420,0,MEDIUM,ANNUAL
PROD_LIFE_PREMIUM,LIFE,Prevoyance Premium,PREMIUM,850,0,HIGH,ANNUAL
PROD_TRAVEL_STANDARD,TRAVEL,Voyage Confort,STANDARD,145,75,LOW,ANNUAL
PROD_PET_STANDARD,PET,Animal Confort,STANDARD,340,60,MEDIUM,MONTHLY
PROD_ACCIDENT_STANDARD,PERSONAL_ACCIDENT,Accident Confort,STANDARD,230,50,MEDIUM,ANNUAL
