campaign_contact_id,campaign_id,customer_id,policy_id,channel_id,campaign_type,campaign_name,contact_datetime,contact_year,opened_flag,clicked_flag,responded_flag,converted_flag,offer_id
CMPCT_00000000001,CMP_2022_UPSELL,CUST_00000001,POL_000000001,CH_EMAIL,UPSELL,Upsell France 2022,2022-01-09T17:00:00+00:00,2022,true,false,false,false,OFF_UPSELL_2022
CMPCT_00000000002,CMP_2025_UPSELL,CUST_00000001,POL_000000001,CH_EMAIL,UPSELL,Upsell France 2025,2025-11-15T19:00:00+00:00,2025,true,false,false,false,OFF_UPSELL_2025
CMPCT_00000000003,CMP_2026_RENEWAL,CUST_00000001,POL_000000001,CH_EMAIL,RENEWAL,Renewal France 2026,2026-12-02T18:00:00+00:00,2026,true,false,false,false,OFF_RENEWAL_2026
CMPCT_00000000004,CMP_2023_CROSS_SELL,CUST_00000002,POL_000000002,CH_EMAIL,CROSS_SELL,Cross_Sell France 2023,2023-05-04T13:00:00+00:00,2023,true,true,true,true,OFF_CROSS_SELL_2023
CMPCT_00000000005,CMP_2024_RETENTION,CUST_00000002,POL_000000002,CH_EMAIL,RETENTION,Retention France 2024,2024-05-18T13:00:00+00:00,2024,true,false,false,false,OFF_RETENTION_2024
CMPCT_00000000006,CMP_2025_CROSS_SELL,CUST_00000002,POL_000000002,CH_EMAIL,CROSS_SELL,Cross_Sell France 2025,2025-09-01T11:00:00+00:00,2025,false,false,false,false,OFF_CROSS_SELL_2025
CMPCT_00000000007,CMP_2026_RETENTION,CUST_00000002,POL_000000002,CH_EMAIL,RETENTION,Retention France 2026,2026-02-23T15:00:00+00:00,2026,false,false,false,false,OFF_RETENTION_2026
CMPCT_00000000008,CMP_2023_RENEWAL,CUST_00000003,POL_000000003,CH_EMAIL,RENEWAL,Renewal France 2023,2023-11-02T11:00:00+00:00,2023,false,false,false,false,OFF_RENEWAL_2023
CMPCT_00000000009,CMP_2024_CROSS_SELL,CUST_00000003,POL_000000003,CH_EMAIL,CROSS_SELL,Cross_Sell France 2024,2024-05-11T12:00:00+00:00,2024,false,false,false,false,OFF_CROSS_SELL_2024
CMPCT_00000000010,CMP_2025_RETENTION,CUST_00000003,POL_000000003,CH_EMAIL,RETENTION,Retention France 2025,2025-01-24T14:00:00+00:00,2025,true,true,false,false,OFF_RETENTION_2025
CMPCT_00000000011,CMP_2021_UPSELL,CUST_00000004,POL_000000005,CH_EMAIL,UPSELL,Upsell France 2021,2021-03-23T12:00:00+00:00,2021,true,false,false,false,OFF_UPSELL_2021
CMPCT_00000000012,CMP_2022_CROSS_SELL,CUST_00000004,POL_000000005,CH_EMAIL,CROSS_SELL,Cross_Sell France 2022,2022-06-23T12:00:00+00:00,2022,true,false,false,false,OFF_CROSS_SELL_2022
