case_id,customer_id,policy_id,interaction_id,opened_datetime,closed_datetime,case_type,priority,case_status,sla_breached_flag,resolution_code,satisfaction_score
CAS_0000000001,CUST_00000001,POL_000000001,INT_00000000001,2023-07-15T13:00:00+00:00,2023-07-22T00:00:00+00:00,CLAIM_SUPPORT,CRITICAL,RESOLVED,true,COMPENSATED,2.48
CAS_0000000002,CUST_00000001,POL_000000001,INT_00000000003,2021-10-06T13:00:00+00:00,2021-10-20T00:00:00+00:00,BILLING,LOW,RESOLVED,false,ANSWERED,3.59
CAS_0000000003,CUST_00000001,POL_000000001,INT_00000000006,2023-09-24T08:00:00+00:00,2023-10-08T00:00:00+00:00,COMPLAINT,MEDIUM,CLOSED,false,DOCUMENT_REQUESTED,2.61
CAS_0000000004,CUST_00000001,POL_000000001,INT_00000000009,2024-05-15T15:00:00+00:00,2024-05-18T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,2.58
CAS_0000000005,CUST_00000002,POL_000000002,INT_00000000010,2023-01-17T18:00:00+00:00,2023-01-18T00:00:00+00:00,CLAIM_SUPPORT,MEDIUM,RESOLVED,false,ANSWERED,4.32
CAS_0000000006,CUST_00000002,POL_000000002,INT_00000000011,2023-11-25T11:00:00+00:00,2023-12-03T00:00:00+00:00,COMPLAINT,LOW,CLOSED,false,ANSWERED,4.36
CAS_0000000007,CUST_00000002,POL_000000002,INT_00000000012,2026-06-02T16:00:00+00:00,2026-06-05T00:00:00+00:00,BILLING,MEDIUM,RESOLVED,false,ANSWERED,3.02
CAS_0000000008,CUST_00000003,POL_000000003,INT_00000000021,2023-11-14T16:00:00+00:00,2023-11-20T00:00:00+00:00,BILLING,LOW,CLOSED,true,ANSWERED,1.6
CAS_0000000009,CUST_00000003,POL_000000003,INT_00000000022,2024-08-20T14:00:00+00:00,2024-08-27T00:00:00+00:00,COMPLAINT,MEDIUM,RESOLVED,false,DOCUMENT_REQUESTED,3.27
CAS_0000000010,CUST_00000004,POL_000000004,INT_00000000030,2022-08-25T09:00:00+00:00,2022-09-11T00:00:00+00:00,BILLING,LOW,ESCALATED,false,ANSWERED,4.69
CAS_0000000011,CUST_00000004,POL_000000004,INT_00000000031,2026-04-19T11:00:00+00:00,2026-05-05T00:00:00+00:00,BILLING,MEDIUM,CLOSED,false,DOCUMENT_REQUESTED,4.02
