interaction_id,customer_id,policy_id,channel_id,agent_id,interaction_datetime,interaction_year,interaction_type,interaction_reason,direction,duration_seconds,sentiment_score,resolved_flag
INT_00000000001,CUST_00000001,POL_000000001,CH_SMS,,2023-07-15T17:38:00+00:00,2023,CALL,CLAIM,INBOUND,157,0.042,true
INT_00000000002,CUST_00000001,POL_000000001,CH_MOBILE,,2023-05-08T18:27:00+00:00,2023,BRANCH_MEETING,RETENTION,OUTBOUND,1547,0.539,false
INT_00000000003,CUST_00000001,POL_000000001,CH_MOBILE,,2021-10-06T19:33:00+00:00,2021,BRANCH_MEETING,BILLING,INBOUND,453,0.28,true
INT_00000000004,CUST_00000001,POL_000000001,CH_CALL_CENTER,AGT_00124,2026-04-30T12:42:00+00:00,2026,BRANCH_MEETING,QUOTE,INBOUND,1177,-1,true
INT_00000000005,CUST_00000001,POL_000000001,CH_CALL_CENTER,AGT_00123,2023-01-10T12:08:00+00:00,2023,MOBILE_SESSION,BILLING,INBOUND,1232,0.376,true
INT_00000000006,CUST_00000001,POL_000000001,CH_SMS,,2023-09-24T11:57:00+00:00,2023,CALL,COMPLAINT,INBOUND,298,-0.628,true
INT_00000000007,CUST_00000001,POL_000000001,CH_MOBILE,,2025-07-29T09:34:00+00:00,2025,EMAIL,GENERAL_SERVICE,INBOUND,1455,0.238,true
INT_00000000008,CUST_00000001,POL_000000001,CH_CALL_CENTER,AGT_00123,2023-03-18T19:16:00+00:00,2023,WEB_VISIT,QUOTE,INBOUND,98,-0.329,true
INT_00000000009,CUST_00000001,POL_000000001,CH_WEB,,2024-05-15T12:27:00+00:00,2024,EMAIL,BILLING,INBOUND,1502,-0.121,true
INT_00000000010,CUST_00000002,POL_000000002,CH_MOBILE,,2023-01-17T13:09:00+00:00,2023,BRANCH_MEETING,CLAIM,INBOUND,1219,0.313,true
INT_00000000011,CUST_00000002,POL_000000002,CH_CALL_CENTER,AGT_00010,2023-11-25T17:25:00+00:00,2023,CALL,COMPLAINT,INBOUND,974,-0.594,true
INT_00000000012,CUST_00000002,POL_000000002,CH_CALL_CENTER,AGT_00010,2026-06-02T11:45:00+00:00,2026,WEB_VISIT,BILLING,INBOUND,78,0.91,true
INT_00000000013,CUST_00000002,POL_000000002,CH_WEB,,2023-12-30T16:52:00+00:00,2023,CHAT,QUOTE,INBOUND,1488,0.29,true
INT_00000000014,CUST_00000002,POL_000000002,CH_CALL_CENTER,AGT_00012,2025-07-14T19:48:00+00:00,2025,WEB_VISIT,CLAIM,INBOUND,177,0.693,true
INT_00000000015,CUST_00000002,POL_000000002,CH_EMAIL,,2024-10-02T16:06:00+00:00,2024,WEB_VISIT,RETENTION,OUTBOUND,493,0.937,true
INT_00000000016,CUST_00000002,POL_000000002,CH_MOBILE,,2022-09-20T08:50:00+00:00,2022,SMS,GENERAL_SERVICE,INBOUND,1178,-0.288,false
INT_00000000017,CUST_00000002,POL_000000002,CH_MOBILE,,2025-09-14T20:51:00+00:00,2025,EMAIL,GENERAL_SERVICE,INBOUND,1430,-0.085,true
INT_00000000018,CUST_00000002,POL_000000002,CH_BRANCH,AGT_00010,2022-08-31T17:12:00+00:00,2022,EMAIL,RENEWAL,INBOUND,872,-0.319,false
INT_00000000019,CUST_00000003,POL_000000003,CH_MOBILE,,2026-03-16T08:11:00+00:00,2026,CALL,CLAIM,INBOUND,566,-0.44,true
INT_00000000020,CUST_00000003,POL_000000003,CH_BRANCH,AGT_00019,2024-06-18T18:43:00+00:00,2024,WEB_VISIT,GENERAL_SERVICE,INBOUND,267,-0.068,true
INT_00000000021,CUST_00000003,POL_000000003,CH_MOBILE,,2023-11-14T18:45:00+00:00,2023,WEB_VISIT,BILLING,INBOUND,48,0.754,true
INT_00000000022,CUST_00000003,POL_000000003,CH_MOBILE,,2024-08-20T19:38:00+00:00,2024,MOBILE_SESSION,COMPLAINT,INBOUND,200,-0.085,true
INT_00000000023,CUST_00000003,POL_000000003,CH_MOBILE,,2024-06-19T15:18:00+00:00,2024,CALL,RENEWAL,OUTBOUND,399,0.24,true
INT_00000000024,CUST_00000003,POL_000000003,CH_MOBILE,,2025-03-22T13:20:00+00:00,2025,CALL,RETENTION,INBOUND,1374,0.601,true
INT_00000000025,CUST_00000003,POL_000000003,CH_CALL_CENTER,AGT_00019,2025-08-12T08:48:00+00:00,2025,WEB_VISIT,BILLING,INBOUND,263,-0.049,true
INT_00000000026,CUST_00000003,POL_000000003,CH_BRANCH,AGT_00017,2025-10-21T08:17:00+00:00,2025,CALL,QUOTE,INBOUND,1188,-0.083,false
INT_00000000027,CUST_00000003,POL_000000003,CH_EMAIL,,2025-11-28T14:07:00+00:00,2025,EMAIL,GENERAL_SERVICE,INBOUND,1485,0.404,true
INT_00000000028,CUST_00000003,POL_000000003,CH_WEB,,2024-02-26T15:00:00+00:00,2024,CHAT,RENEWAL,OUTBOUND,45,-0.187,true
