policy_id,source_policy_id,customer_id,product_id,sales_channel_id,agent_id,agency_id,policy_start_date,policy_end_date,next_renewal_date,policy_status,payment_frequency,annual_premium,premium_discount_pct,premium_increase_pct_last_renewal,cancellation_date,cancellation_reason
POL_000000001,SRC_POL_000000001,CUST_00000001,PROD_HOME_STANDARD,CH_CALL_CENTER,AGT_00120,AGY_018,2021-07-28,2027-07-28,2026-07-28,ACTIVE,MONTHLY,547.3,0.0394,0.093,,
POL_000000002,SRC_POL_000000002,CUST_00000002,PROD_AUTO_STANDARD,CH_BRANCH,AGT_00008,AGY_002,2023-09-19,2027-09-19,2026-09-19,ACTIVE,MONTHLY,962.55,0.0078,0.0908,,
POL_000000003,SRC_POL_000000003,CUST_00000003,PROD_HEALTH_BASIC,CH_MOBILE,AGT_00015,AGY_003,2024-10-07,2026-10-07,2026-10-07,ACTIVE,MONTHLY,622.12,0.0764,0.005,,
POL_000000004,SRC_POL_000000004,CUST_00000004,PROD_LIFE_PREMIUM,CH_BRANCH,AGT_00147,AGY_021,2021-03-18,2027-03-18,2026-03-18,ACTIVE,ANNUAL,733.95,0.0849,-0.0041,,
POL_000000005,SRC_POL_000000005,CUST_00000004,PROD_LIFE_BASIC,CH_MOBILE,AGT_00141,AGY_021,2023-04-13,2029-04-13,2026-04-13,ACTIVE,ANNUAL,257.83,0.0247,0.1302,,
POL_000000006,SRC_POL_000000006,CUST_00000005,PROD_HEALTH_PREMIUM,CH_BROKER,AGT_00141,AGY_021,2023-12-07,2029-12-07,2026-12-07,ACTIVE,MONTHLY,1269.06,0.1048,-0.0073,,
POL_000000007,SRC_POL_000000007,CUST_00000006,PROD_TRAVEL_STANDARD,CH_CALL_CENTER,AGT_00001,AGY_001,2021-07-21,2025-07-21,,EXPIRED,ANNUAL,158.57,0.0305,0.0852,,
POL_000000008,SRC_POL_000000008,CUST_00000006,PROD_LIFE_STANDARD,CH_BRANCH,AGT_00001,AGY_001,2020-10-25,2022-10-25,,EXPIRED,ANNUAL,443.25,0.0038,-0.0158,,
POL_000000009,SRC_POL_000000009,CUST_00000006,PROD_AUTO_BASIC,CH_BRANCH,AGT_00001,AGY_001,2024-05-30,2029-05-30,2026-05-30,ACTIVE,MONTHLY,466.87,0.0005,0.0072,,
POL_000000010,SRC_POL_000000010,CUST_00000007,PROD_AUTO_STANDARD,CH_WEB,AGT_00042,AGY_006,2024-12-06,2026-12-06,,CANCELLED,MONTHLY,862.04,0.0134,0.0137,2026-03-08,COVERAGE
POL_000000011,SRC_POL_000000011,CUST_00000008,PROD_HOME_PREMIUM,CH_BROKER,AGT_00070,AGY_010,2024-06-01,2025-06-01,,CANCELLED,MONTHLY,883.75,0.0151,0.0867,2024-12-04,COMPETITOR
