policy_event_id,policy_id,customer_id,product_id,event_date,event_timestamp,event_type,event_reason,previous_policy_status,new_policy_status,previous_annual_premium,new_annual_premium,premium_change_pct,source_system
PEV_0000000001,POL_000000001,CUST_00000001,PROD_HOME_STANDARD,2021-07-28,2021-07-28T10:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,547.3,,core_policy
PEV_0000000002,POL_000000002,CUST_00000002,PROD_AUTO_STANDARD,2023-09-19,2023-09-19T14:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,962.55,,core_policy
PEV_0000000003,POL_000000003,CUST_00000003,PROD_HEALTH_BASIC,2024-10-07,2024-10-07T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,622.12,,core_policy
PEV_0000000004,POL_000000004,CUST_00000004,PROD_LIFE_PREMIUM,2021-03-18,2021-03-18T09:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,733.95,,core_policy
PEV_0000000005,POL_000000005,CUST_00000004,PROD_LIFE_BASIC,2023-04-13,2023-04-13T09:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,257.83,,core_policy
PEV_0000000006,POL_000000006,CUST_00000005,PROD_HEALTH_PREMIUM,2023-12-07,2023-12-07T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1269.06,,core_policy
PEV_0000000007,POL_000000007,CUST_00000006,PROD_TRAVEL_STANDARD,2021-07-21,2021-07-21T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,158.57,,core_policy
PEV_0000000008,POL_000000008,CUST_00000006,PROD_LIFE_STANDARD,2020-10-25,2020-10-25T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,443.25,,core_policy
PEV_0000000009,POL_000000009,CUST_00000006,PROD_AUTO_BASIC,2024-05-30,2024-05-30T17:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,466.87,,core_policy
PEV_0000000010,POL_000000010,CUST_00000007,PROD_AUTO_STANDARD,2024-12-06,2024-12-06T16:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,862.04,,core_policy
PEV_0000000011,POL_000000010,CUST_00000007,PROD_AUTO_STANDARD,2026-03-08,2026-03-08T12:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,862.04,862.04,0,core_policy
PEV_0000000012,POL_000000011,CUST_00000008,PROD_HOME_PREMIUM,2024-06-01,2024-06-01T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,883.75,,core_policy
PEV_0000000013,POL_000000011,CUST_00000008,PROD_HOME_PREMIUM,2024-12-04,2024-12-04T09:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,883.75,883.75,0,core_policy
PEV_0000000014,POL_000000012,CUST_00000009,PROD_HOME_STANDARD,2023-02-18,2023-02-18T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,563.82,,core_policy
PEV_0000000015,POL_000000013,CUST_00000010,PROD_HOME_STANDARD,2025-10-17,2025-10-17T14:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,544.08,,core_policy
PEV_0000000016,POL_000000014,CUST_00000011,PROD_HEALTH_STANDARD,2022-09-03,2022-09-03T11:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,999.31,,core_policy
PEV_0000000017,POL_000000015,CUST_00000012,PROD_HOME_BASIC,2025-01-09,2025-01-09T12:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,371.31,,core_policy
PEV_0000000018,POL_000000016,CUST_00000012,PROD_ACCIDENT_STANDARD,2025-10-20,2025-10-20T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,215.47,,core_policy
PEV_0000000019,POL_000000017,CUST_00000012,PROD_AUTO_STANDARD,2021-10-05,2021-10-05T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,866.38,,core_policy
PEV_0000000020,POL_000000018,CUST_00000013,PROD_LIFE_PREMIUM,2024-02-20,2024-02-20T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,824.37,,core_policy
PEV_0000000021,POL_000000019,CUST_00000013,PROD_HEALTH_PREMIUM,2023-11-25,2023-11-25T12:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1572.79,,core_policy
PEV_0000000022,POL_000000020,CUST_00000014,PROD_ACCIDENT_STANDARD,2025-06-08,2025-06-08T13:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,264.09,,core_policy
PEV_0000000023,POL_000000021,CUST_00000015,PROD_TRAVEL_STANDARD,2024-08-09,2024-08-09T09:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,161.47,,core_policy
PEV_0000000024,POL_000000021,CUST_00000015,PROD_TRAVEL_STANDARD,2025-03-13,2025-03-13T17:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,161.47,161.47,0,core_policy
PEV_0000000025,POL_000000022,CUST_00000016,PROD_AUTO_BASIC,2023-03-02,2023-03-02T10:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,575.74,,core_policy
PEV_0000000026,POL_000000023,CUST_00000017,PROD_HEALTH_PREMIUM,2024-03-29,2024-03-29T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1723.06,,core_policy
PEV_0000000027,POL_000000024,CUST_00000018,PROD_AUTO_BASIC,2024-06-15,2024-06-15T10:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,560.44,,core_policy
PEV_0000000028,POL_000000024,CUST_00000018,PROD_AUTO_BASIC,2025-11-24,2025-11-24T18:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,560.44,560.44,0,core_policy
PEV_0000000029,POL_000000025,CUST_00000019,PROD_HOME_PREMIUM,2025-05-08,2025-05-08T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,849.89,,core_policy
PEV_0000000030,POL_000000026,CUST_00000019,PROD_AUTO_PREMIUM,2025-07-09,2025-07-09T18:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1041.41,,core_policy
PEV_0000000031,POL_000000027,CUST_00000020,PROD_LIFE_BASIC,2021-04-10,2021-04-10T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,259.61,,core_policy
PEV_0000000032,POL_000000028,CUST_00000020,PROD_HOME_PREMIUM,2021-04-10,2021-04-10T12:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,885.75,,core_policy
PEV_0000000033,POL_000000029,CUST_00000021,PROD_TRAVEL_STANDARD,2024-10-14,2024-10-14T13:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,152.65,,core_policy
PEV_0000000034,POL_000000030,CUST_00000022,PROD_HEALTH_PREMIUM,2023-06-19,2023-06-19T13:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1546.43,,core_policy
PEV_0000000035,POL_000000031,CUST_00000023,PROD_AUTO_STANDARD,2025-10-08,2025-10-08T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,707.59,,core_policy
PEV_0000000036,POL_000000031,CUST_00000023,PROD_AUTO_STANDARD,2026-06-24,2026-06-24T10:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,707.59,707.59,0,core_policy
PEV_0000000037,POL_000000032,CUST_00000023,PROD_HOME_STANDARD,2024-03-18,2024-03-18T13:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,453.36,,core_policy
PEV_0000000038,POL_000000033,CUST_00000024,PROD_PET_STANDARD,2020-11-04,2020-11-04T18:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,377.95,,core_policy
PEV_0000000039,POL_000000034,CUST_00000024,PROD_AUTO_STANDARD,2024-03-07,2024-03-07T17:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,769.49,,core_policy
PEV_0000000040,POL_000000035,CUST_00000025,PROD_HEALTH_BASIC,2022-03-20,2022-03-20T13:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,711.38,,core_policy
PEV_0000000041,POL_000000036,CUST_00000025,PROD_HOME_STANDARD,2022-02-05,2022-02-05T17:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,530.23,,core_policy
PEV_0000000042,POL_000000036,CUST_00000025,PROD_HOME_STANDARD,2024-05-06,2024-05-06T14:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,530.23,530.23,0,core_policy
PEV_0000000043,POL_000000037,CUST_00000026,PROD_LIFE_BASIC,2022-05-27,2022-05-27T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,229.68,,core_policy
PEV_0000000044,POL_000000037,CUST_00000026,PROD_LIFE_BASIC,2026-02-14,2026-02-14T11:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,229.68,229.68,0,core_policy
PEV_0000000045,POL_000000038,CUST_00000026,PROD_AUTO_STANDARD,2022-11-16,2022-11-16T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,803.4,,core_policy
PEV_0000000046,POL_000000039,CUST_00000027,PROD_LIFE_STANDARD,2024-02-29,2024-02-29T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,486.81,,core_policy
PEV_0000000047,POL_000000040,CUST_00000028,PROD_AUTO_PREMIUM,2024-11-15,2024-11-15T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1274.54,,core_policy
PEV_0000000048,POL_000000041,CUST_00000028,PROD_LIFE_PREMIUM,2021-03-30,2021-03-30T13:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,890.66,,core_policy
PEV_0000000049,POL_000000042,CUST_00000029,PROD_LIFE_BASIC,2022-03-28,2022-03-28T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,219.5,,core_policy
PEV_0000000050,POL_000000043,CUST_00000030,PROD_ACCIDENT_STANDARD,2025-06-13,2025-06-13T14:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,233.57,,core_policy
PEV_0000000051,POL_000000044,CUST_00000031,PROD_HEALTH_BASIC,2023-08-02,2023-08-02T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,716.43,,core_policy
PEV_0000000052,POL_000000045,CUST_00000031,PROD_HOME_BASIC,2023-08-02,2023-08-02T11:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,284.95,,core_policy
PEV_0000000053,POL_000000046,CUST_00000032,PROD_HEALTH_STANDARD,2025-10-26,2025-10-26T11:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,943.78,,core_policy
PEV_0000000054,POL_000000047,CUST_00000032,PROD_LIFE_BASIC,2025-12-27,2025-12-27T12:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,242.51,,core_policy
PEV_0000000055,POL_000000048,CUST_00000033,PROD_HOME_BASIC,2025-10-10,2025-10-10T19:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,335.72,,core_policy
PEV_0000000056,POL_000000049,CUST_00000033,PROD_HOME_PREMIUM,2025-10-10,2025-10-10T17:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,785.27,,core_policy
PEV_0000000057,POL_000000050,CUST_00000033,PROD_HEALTH_STANDARD,2025-10-10,2025-10-10T16:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,939.54,,core_policy
PEV_0000000058,POL_000000051,CUST_00000033,PROD_HEALTH_BASIC,2025-10-20,2025-10-20T10:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,750.19,,core_policy
PEV_0000000059,POL_000000052,CUST_00000034,PROD_ACCIDENT_STANDARD,2023-03-28,2023-03-28T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,237.51,,core_policy
PEV_0000000060,POL_000000052,CUST_00000034,PROD_ACCIDENT_STANDARD,2024-11-12,2024-11-12T10:00:00+00:00,CANCELLATION,CUSTOMER_REQUEST,ACTIVE,CANCELLED,237.51,237.51,0,core_policy
PEV_0000000061,POL_000000053,CUST_00000035,PROD_LIFE_BASIC,2022-01-09,2022-01-09T08:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,276.95,,core_policy
PEV_0000000062,POL_000000054,CUST_00000036,PROD_HEALTH_STANDARD,2025-08-05,2025-08-05T15:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,1226.08,,core_policy
PEV_0000000063,POL_000000055,CUST_00000036,PROD_AUTO_BASIC,2022-10-06,2022-10-06T17:00:00+00:00,SUBSCRIPTION,NEW_BUSINESS,,ACTIVE,,541.6,,core_policy
