retention_action_id,customer_id,policy_id,action_date,action_timestamp,action_type,trigger_reason,offered_value,channel_id,agent_id,accepted_flag,retained_90d_flag
RET_0000000001,CUST_00000016,POL_000000022,2024-12-12,2024-12-12T13:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,66.17,CH_RETENTION_OUTBOUND,AGT_00006,false,false
RET_0000000002,CUST_00000017,POL_000000023,2026-06-20,2026-06-20T13:00:00+00:00,CALLBACK,PREMIUM_INCREASE,127.36,CH_RETENTION_OUTBOUND,AGT_00097,true,true
RET_0000000003,CUST_00000018,POL_000000024,2025-03-27,2025-03-27T15:00:00+00:00,CALLBACK,LOW_ENGAGEMENT,31.84,CH_RETENTION_OUTBOUND,AGT_00118,false,false
RET_0000000004,CUST_00000019,POL_000000025,2025-05-30,2025-05-30T17:00:00+00:00,CALLBACK,HIGH_VALUE_SAVE,98.44,CH_RETENTION_OUTBOUND,AGT_00153,false,false
RET_0000000005,CUST_00000021,POL_000000029,2026-03-14,2026-03-14T14:00:00+00:00,LOYALTY_BONUS,HIGH_VALUE_SAVE,18.6,CH_RETENTION_OUTBOUND,AGT_00048,true,true
RET_0000000006,CUST_00000026,POL_000000037,2022-06-16,2022-06-16T19:00:00+00:00,DISCOUNT,RENEWAL_RISK,16.07,CH_RETENTION_OUTBOUND,AGT_00062,false,false
RET_0000000007,CUST_00000042,POL_000000066,2025-05-11,2025-05-11T11:00:00+00:00,CALLBACK,HIGH_VALUE_SAVE,61.5,CH_RETENTION_OUTBOUND,AGT_00013,true,false
RET_0000000008,CUST_00000043,POL_000000071,2025-06-17,2025-06-17T13:00:00+00:00,CALLBACK,RENEWAL_RISK,54.6,CH_RETENTION_OUTBOUND,AGT_00027,true,false
RET_0000000009,CUST_00000053,POL_000000090,2025-07-01,2025-07-01T19:00:00+00:00,CALLBACK,COMPLAINT,62.73,CH_RETENTION_OUTBOUND,AGT_00055,true,true
RET_0000000010,CUST_00000056,POL_000000093,2026-01-03,2026-01-03T19:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,11.84,CH_RETENTION_OUTBOUND,AGT_00097,false,false
RET_0000000011,CUST_00000060,POL_000000101,2025-07-13,2025-07-13T18:00:00+00:00,CLAIM_REVIEW,COMPLAINT,128.63,CH_RETENTION_OUTBOUND,AGT_00013,false,false
RET_0000000012,CUST_00000062,POL_000000103,2025-11-23,2025-11-23T12:00:00+00:00,CALLBACK,PAYMENT_INCIDENT,52.29,CH_RETENTION_OUTBOUND,AGT_00090,false,false
RET_0000000013,CUST_00000085,POL_000000138,2024-05-19,2024-05-19T16:00:00+00:00,DISCOUNT,LOW_ENGAGEMENT,39.74,CH_RETENTION_OUTBOUND,AGT_00146,false,false
RET_0000000014,CUST_00000092,POL_000000149,2025-04-17,2025-04-17T17:00:00+00:00,CALLBACK,COMPLAINT,40.82,CH_RETENTION_OUTBOUND,AGT_00013,false,false
RET_0000000015,CUST_00000110,POL_000000181,2025-06-15,2025-06-15T13:00:00+00:00,CLAIM_REVIEW,COMPLAINT,22.69,CH_RETENTION_OUTBOUND,AGT_00062,false,false
RET_0000000016,CUST_00000127,POL_000000208,2025-08-02,2025-08-02T14:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,61.93,CH_RETENTION_OUTBOUND,AGT_00069,true,true
RET_0000000017,CUST_00000134,POL_000000219,2024-12-30,2024-12-30T12:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,139.49,CH_RETENTION_OUTBOUND,AGT_00118,false,false
RET_0000000018,CUST_00000135,POL_000000220,2025-09-18,2025-09-18T08:00:00+00:00,DISCOUNT,RENEWAL_RISK,72.85,CH_RETENTION_OUTBOUND,AGT_00146,true,true
RET_0000000019,CUST_00000136,POL_000000223,2025-10-30,2025-10-30T12:00:00+00:00,PAYMENT_PLAN,LOW_ENGAGEMENT,41.97,CH_RETENTION_OUTBOUND,AGT_00048,false,false
RET_0000000020,CUST_00000137,POL_000000224,2023-10-28,2023-10-28T14:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,25.18,CH_RETENTION_OUTBOUND,AGT_00167,true,true
RET_0000000021,CUST_00000155,POL_000000251,2023-06-25,2023-06-25T12:00:00+00:00,PAYMENT_PLAN,PREMIUM_INCREASE,41.43,CH_RETENTION_OUTBOUND,AGT_00020,false,false
RET_0000000022,CUST_00000164,POL_000000265,2023-02-24,2023-02-24T11:00:00+00:00,DISCOUNT,HIGH_VALUE_SAVE,77.21,CH_RETENTION_OUTBOUND,AGT_00069,false,false
RET_0000000023,CUST_00000165,POL_000000266,2025-03-03,2025-03-03T11:00:00+00:00,CLAIM_REVIEW,PREMIUM_INCREASE,16.58,CH_RETENTION_OUTBOUND,AGT_00041,false,false
RET_0000000024,CUST_00000182,POL_000000291,2026-05-10,2026-05-10T11:00:00+00:00,CALLBACK,RENEWAL_RISK,36.01,CH_RETENTION_OUTBOUND,AGT_00125,false,false
RET_0000000025,CUST_00000188,POL_000000301,2025-03-04,2025-03-04T17:00:00+00:00,DISCOUNT,RENEWAL_RISK,23.23,CH_RETENTION_OUTBOUND,AGT_00034,true,true
RET_0000000026,CUST_00000198,POL_000000318,2024-05-30,2024-05-30T12:00:00+00:00,DISCOUNT,PAYMENT_INCIDENT,11.5,CH_RETENTION_OUTBOUND,AGT_00090,false,false
RET_0000000027,CUST_00000203,POL_000000325,2026-03-20,2026-03-20T09:00:00+00:00,DISCOUNT,PREMIUM_INCREASE,85.87,CH_RETENTION_OUTBOUND,AGT_00055,false,false
